Model,Feature_Extraction_Method,Train_Accuracy,Validation_Accuracy,Test_Accuracy,Train_F1,Validation_F1,Test_F1,Train_Precision,Validation_Precision,Test_Precision,Train_Recall,Validation_Recall,Test_Recall,Train_AUC,Validation_AUC,Test_AUC
KNN,glove.twitter.27B.200d_mean,0.2496743378202345,0.13395638629283488,0.122336227308603,0.33588403108850207,0.24460997311349184,0.24770998524269824,0.2496743378202345,0.13395638629283488,0.122336227308603,0.17691004744662517,0.10478853832773934,0.10169038934683264,0.7280811852131556,0.559477667664419,0.5455049272191042
Gaussian NB,glove.twitter.27B.200d_mean,0.2732957012592271,0.19314641744548286,0.19179163378058406,0.26054526606284667,0.22087614276694095,0.23809635151554964,0.2732957012592271,0.19314641744548286,0.19179163378058406,0.23335539963180407,0.17783144688048172,0.1827045949227334,0.6174018430220152,0.5517060230492966,0.5483483285513718
AdaBoost,glove.twitter.27B.200d_mean,0.27833260963960055,0.20950155763239875,0.2138910812943962,0.2671422742933658,0.2534967504538315,0.24655875909259467,0.27833260963960055,0.20950155763239875,0.2138910812943962,0.25370182646093303,0.1976878969250938,0.20601839776061193,0.6345735355058796,0.5700115030311411,0.5607344702756155
Extra Trees,glove.twitter.27B.200d_mean,0.9993052540165002,0.22897196261682243,0.2217837411207577,0.9993064627390114,0.23509135401166628,0.25066933615521325,0.9993052540165002,0.22897196261682243,0.2217837411207577,0.9993054124352296,0.21420516405290965,0.21354512263046646,0.9999996258237812,0.5846681807133904,0.5785654064175795
XGBoost,glove.twitter.27B.200d_mean,0.9993052540165002,0.24143302180685358,0.2107340173638516,0.9993056588824365,0.24100242496213453,0.21261164120015297,0.9993052540165002,0.24143302180685358,0.2107340173638516,0.9993052406409002,0.23932872668162034,0.21080078315108233,0.9999996710235004,0.5751329558223518,0.5478779447673772
Logistic Regression,glove.twitter.27B.200d_max,0.30664350846721666,0.2102803738317757,0.2154696132596685,0.29591179023144154,0.22324965280896472,0.2368541605026753,0.30664350846721666,0.2102803738317757,0.2154696132596685,0.2918627275849869,0.20444953949507222,0.21545711872817946,0.6604744498978298,0.5817993655869976,0.5632962990217838
Decision Tree,glove.twitter.27B.200d_max,0.9993052540165002,0.1954828660436137,0.21310181531176006,0.9993063098313568,0.20210107868058452,0.2174750741919511,0.9993052540165002,0.1954828660436137,0.21310181531176006,0.9993053359875682,0.19772960043063706,0.2137937110669764,0.999999680261161,0.5145341655826994,0.5241125137660052
Random Forest,glove.twitter.27B.200d_max,0.9993052540165002,0.22274143302180685,0.2217837411207577,0.9993064627390114,0.22551741287164087,0.2201399865591,0.9993052540165002,0.22274143302180685,0.2217837411207577,0.9993054124352296,0.21407298897580124,0.21128267150199065,0.9999987589199801,0.5565240507124856,0.563759744083772
SVM,glove.twitter.27B.200d_max,0.4032132001736865,0.2398753894080997,0.22336227308603,0.42406068600766644,0.2837897449306384,0.2473324270098586,0.4032132001736865,0.2398753894080997,0.22336227308603,0.3750147093923559,0.2231005948515714,0.20924674589957246,0.7510435736332608,0.5892658056302599,0.5810646885119835
KNN,glove.twitter.27B.200d_max,0.2496743378202345,0.13395638629283488,0.122336227308603,0.33588403108850207,0.24460997311349184,0.24770998524269824,0.2496743378202345,0.13395638629283488,0.122336227308603,0.17691004744662517,0.10478853832773934,0.10169038934683264,0.7280811852131556,0.559477667664419,0.5455049272191042
Gaussian NB,glove.twitter.27B.200d_max,0.2732957012592271,0.19314641744548286,0.19179163378058406,0.26054526606284667,0.22087614276694095,0.23809635151554964,0.2732957012592271,0.19314641744548286,0.19179163378058406,0.23335539963180407,0.17783144688048172,0.1827045949227334,0.6174018430220152,0.5517060230492966,0.5483483285513718
AdaBoost,glove.twitter.27B.200d_max,0.27833260963960055,0.20950155763239875,0.2138910812943962,0.2671422742933658,0.2534967504538315,0.24655875909259467,0.27833260963960055,0.20950155763239875,0.2138910812943962,0.25370182646093303,0.1976878969250938,0.20601839776061193,0.6345735355058796,0.5700115030311411,0.5607344702756155
Extra Trees,glove.twitter.27B.200d_max,0.9993052540165002,0.24766355140186916,0.2154696132596685,0.9993056491133796,0.26086566681635337,0.22666401046098666,0.9993052540165002,0.24766355140186916,0.2154696132596685,0.999305319435182,0.23688761305785883,0.2030180551409193,0.999999644068161,0.5938101672947274,0.5701112282497771
XGBoost,glove.twitter.27B.200d_max,0.9993052540165002,0.24143302180685358,0.2107340173638516,0.9993056588824365,0.24100242496213453,0.21261164120015297,0.9993052540165002,0.24143302180685358,0.2107340173638516,0.9993052406409002,0.23932872668162034,0.21080078315108233,0.9999996710235004,0.5751329558223518,0.5478779447673772
Logistic Regression,glove.twitter.27B.200d_sum,0.30664350846721666,0.2102803738317757,0.2154696132596685,0.29591179023144154,0.22324965280896472,0.2368541605026753,0.30664350846721666,0.2102803738317757,0.2154696132596685,0.2918627275849869,0.20444953949507222,0.21545711872817946,0.6604744498978298,0.5817993655869976,0.5632962990217838
Decision Tree,glove.twitter.27B.200d_sum,0.9993052540165002,0.1985981308411215,0.19731649565903708,0.9993063098313568,0.20508656501558425,0.20082005877363496,0.9993052540165002,0.1985981308411215,0.19731649565903708,0.9993053359875682,0.20075681961901867,0.19749097138293828,0.999999680261161,0.5166139287009391,0.5148660449360133
Random Forest,glove.twitter.27B.200d_sum,0.9993052540165002,0.23286604361370716,0.21468034727703236,0.9993057476542206,0.23861484711407788,0.21700353163789377,0.9993052540165002,0.23286604361370716,0.21468034727703236,0.9993053217423654,0.2244667834332991,0.20520728117659062,0.9999807790836688,0.5719778939415421,0.5572654717620769
SVM,glove.twitter.27B.200d_sum,0.4032132001736865,0.2398753894080997,0.22336227308603,0.42406068600766644,0.2837897449306384,0.2473324270098586,0.4032132001736865,0.2398753894080997,0.22336227308603,0.3750147093923559,0.2231005948515714,0.20924674589957246,0.7505069266346813,0.5896572754164926,0.5809046295890393
KNN,glove.twitter.27B.200d_sum,0.2496743378202345,0.13395638629283488,0.122336227308603,0.33588403108850207,0.24460997311349184,0.24770998524269824,0.2496743378202345,0.13395638629283488,0.122336227308603,0.17691004744662517,0.10478853832773934,0.10169038934683264,0.7280811852131556,0.559477667664419,0.5455049272191042
Gaussian NB,glove.twitter.27B.200d_sum,0.2732957012592271,0.19314641744548286,0.19179163378058406,0.26054526606284667,0.22087614276694095,0.23809635151554964,0.2732957012592271,0.19314641744548286,0.19179163378058406,0.23335539963180407,0.17783144688048172,0.1827045949227334,0.6174018430220152,0.5517060230492966,0.5483483285513718
AdaBoost,glove.twitter.27B.200d_sum,0.27833260963960055,0.20950155763239875,0.2138910812943962,0.2671422742933658,0.2534967504538315,0.24655875909259467,0.27833260963960055,0.20950155763239875,0.2138910812943962,0.25370182646093303,0.1976878969250938,0.20601839776061193,0.6345735355058796,0.5700115030311411,0.5607344702756155
Extra Trees,glove.twitter.27B.200d_sum,0.9993052540165002,0.24299065420560748,0.2249408050513023,0.9993058544942959,0.25303717686772476,0.23982539311894155,0.9993052540165002,0.24299065420560748,0.2249408050513023,0.9993053702886239,0.22924247422652919,0.21373374601530337,0.9999996258237812,0.5965959035868523,0.5779739605471346
XGBoost,glove.twitter.27B.200d_sum,0.9993052540165002,0.24143302180685358,0.2107340173638516,0.9993056588824365,0.24100242496213453,0.21261164120015297,0.9993052540165002,0.24143302180685358,0.2107340173638516,0.9993052406409002,0.23932872668162034,0.21080078315108233,0.9999996710235004,0.5751329558223518,0.5478779447673772
Logistic Regression,glove.840B.300d_mean,0.33608336951802,0.21651090342679127,0.2067876874506709,0.32659118871935267,0.2260973283445063,0.22396297022444472,0.33608336951802,0.21651090342679127,0.2067876874506709,0.32373764575488717,0.2126312675552365,0.2073528729761295,0.6883983768631871,0.580333804002184,0.5667062314500768
Decision Tree,glove.840B.300d_mean,0.9993920972644377,0.21339563862928349,0.19494869771112866,0.9993927626322253,0.21793809426539743,0.2029318998995343,0.9993920972644377,0.21339563862928349,0.19494869771112866,0.9993921368400105,0.21461572297728188,0.19802829871366093,0.9999997166868971,0.5249857079199917,0.5141287431514852
Random Forest,glove.840B.300d_mean,0.9993920972644377,0.21806853582554517,0.23362273086029992,0.9993926689426464,0.22093910363986954,0.2357388430121429,0.9993920972644377,0.21806853582554517,0.23362273086029992,0.999392103922027,0.21191026761311815,0.2250716686935966,0.9999892625417902,0.5708262095111145,0.5631473924159256
SVM,glove.840B.300d_mean,0.494398610508033,0.2336448598130841,0.22573007103393844,0.5114132152611208,0.2565357925578985,0.24771964659968942,0.494398610508033,0.2336448598130841,0.22573007103393844,0.47668036573563155,0.22728926352420395,0.2184504925669272,0.8115169576063567,0.5988854319806379,0.5870453223509292
KNN,glove.840B.300d_mean,0.25835866261398177,0.14719626168224298,0.11049723756906077,0.3394415061636971,0.23718872248822312,0.21661064018155946,0.25835866261398177,0.14719626168224298,0.11049723756906077,0.18797061946033417,0.11535298222742643,0.08597046107055142,0.7312776385832311,0.5508568348597366,0.5481604347449152
Gaussian NB,glove.840B.300d_mean,0.2796352583586626,0.1853582554517134,0.19494869771112866,0.2761205906147634,0.2041518431513844,0.2077561804375835,0.2796352583586626,0.1853582554517134,0.19494869771112866,0.2354524845472172,0.16231801821229003,0.16937362286400964,0.6167227483710258,0.5478679039510063,0.551983453947838
AdaBoost,glove.840B.300d_mean,0.28484585323491096,0.22274143302180685,0.1910023677979479,0.2712382625830305,0.23227531087117126,0.21116851422580538,0.28484585323491096,0.22274143302180685,0.1910023677979479,0.25600536416865205,0.2022250773470891,0.17837371397459484,0.6269067616246223,0.5763320295687547,0.5660814683432781
Extra Trees,glove.840B.300d_mean,0.9993920972644377,0.26246105919003115,0.23914759273875297,0.9993927101589637,0.28396217807058227,0.24866595169884984,0.9993920972644377,0.26246105919003115,0.23914759273875297,0.9993921624342301,0.24908758885792304,0.22517936175108813,0.9999997166868971,0.5980326603465278,0.5808457720602559
XGBoost,glove.840B.300d_mean,0.9993920972644377,0.24143302180685358,0.24704025256511444,0.9993926689426464,0.2421468247623746,0.2478909640761085,0.9993920972644377,0.24143302180685358,0.24704025256511444,0.999392103922027,0.2399875717978393,0.24589530803668308,0.9999997166868971,0.577843711960297,0.5763857281267426
Logistic Regression,glove.840B.300d_max,0.33608336951802,0.21651090342679127,0.2067876874506709,0.32659118871935267,0.2260973283445063,0.22396297022444472,0.33608336951802,0.21651090342679127,0.2067876874506709,0.32373764575488717,0.2126312675552365,0.2073528729761295,0.6883983768631871,0.580333804002184,0.5667062314500768
Decision Tree,glove.840B.300d_max,0.9993920972644377,0.19158878504672897,0.1925808997632202,0.9993927626322253,0.19629558742065412,0.19873372975539927,0.9993920972644377,0.19158878504672897,0.1925808997632202,0.9993921368400105,0.1930549319089353,0.1948247711376106,0.9999997166868971,0.512130072069295,0.5116385705799715
Random Forest,glove.840B.300d_max,0.9993920972644377,0.22118380062305296,0.21941594317284924,0.9993924813674752,0.22246473034230774,0.22340047962258663,0.9993920972644377,0.22118380062305296,0.21941594317284924,0.9993921706427225,0.2137336327956967,0.2119635741193134,0.9999975456056988,0.5647516489330447,0.5698029834982468
SVM,glove.840B.300d_max,0.494398610508033,0.2336448598130841,0.22573007103393844,0.5114132152611208,0.2565357925578985,0.24771964659968942,0.494398610508033,0.2336448598130841,0.22573007103393844,0.47668036573563155,0.22728926352420395,0.2184504925669272,0.8126414792007962,0.5985211946210013,0.5868255818375775
KNN,glove.840B.300d_max,0.25835866261398177,0.14719626168224298,0.11049723756906077,0.3394415061636971,0.23718872248822312,0.21661064018155946,0.25835866261398177,0.14719626168224298,0.11049723756906077,0.18797061946033417,0.11535298222742643,0.08597046107055142,0.7312776385832311,0.5508568348597366,0.5481604347449152
Gaussian NB,glove.840B.300d_max,0.2796352583586626,0.1853582554517134,0.19494869771112866,0.2761205906147634,0.2041518431513844,0.2077561804375835,0.2796352583586626,0.1853582554517134,0.19494869771112866,0.2354524845472172,0.16231801821229003,0.16937362286400964,0.6167227483710258,0.5478679039510063,0.551983453947838
AdaBoost,glove.840B.300d_max,0.28484585323491096,0.22274143302180685,0.1910023677979479,0.2712382625830305,0.23227531087117126,0.21116851422580538,0.28484585323491096,0.22274143302180685,0.1910023677979479,0.25600536416865205,0.2022250773470891,0.17837371397459484,0.6269067616246223,0.5763320295687547,0.5660814683432781
Extra Trees,glove.840B.300d_max,0.9993920972644377,0.23130841121495327,0.23914759273875297,0.9993925338407367,0.22748398166630365,0.23872195997149076,0.9993920972644377,0.23130841121495327,0.23914759273875297,0.9993921526100331,0.21734553719478336,0.22315424691877309,0.9999997166868971,0.5906617491458233,0.5792353216914561
XGBoost,glove.840B.300d_max,0.9993920972644377,0.24143302180685358,0.24704025256511444,0.9993926689426464,0.2421468247623746,0.2478909640761085,0.9993920972644377,0.24143302180685358,0.24704025256511444,0.999392103922027,0.2399875717978393,0.24589530803668308,0.9999997166868971,0.577843711960297,0.5763857281267426
Logistic Regression,glove.840B.300d_sum,0.33608336951802,0.21651090342679127,0.2067876874506709,0.32659118871935267,0.2260973283445063,0.22396297022444472,0.33608336951802,0.21651090342679127,0.2067876874506709,0.32373764575488717,0.2126312675552365,0.2073528729761295,0.6883983768631871,0.580333804002184,0.5667062314500768
Decision Tree,glove.840B.300d_sum,0.9993920972644377,0.18847352024922118,0.19889502762430938,0.9993927626322253,0.19334782452159152,0.2067643061582948,0.9993920972644377,0.18847352024922118,0.19889502762430938,0.9993921368400105,0.1901096614346653,0.20172336433773935,0.9999997166868971,0.5099540286223572,0.5161631333873569
Random Forest,glove.840B.300d_sum,0.9993920972644377,0.23598130841121495,0.22730860299921074,0.9993924813674752,0.23130630009870515,0.23120604101882405,0.9993920972644377,0.23598130841121495,0.22730860299921074,0.9993921706427225,0.2234265101064152,0.21706319943560337,0.9999975912166482,0.5682848359114587,0.5701466761212587
SVM,glove.840B.300d_sum,0.494398610508033,0.2336448598130841,0.22573007103393844,0.5114132152611208,0.2565357925578985,0.24771964659968942,0.494398610508033,0.2336448598130841,0.22573007103393844,0.47668036573563155,0.22728926352420395,0.2184504925669272,0.8108545797995246,0.5993593150419749,0.5870608954853619
KNN,glove.840B.300d_sum,0.25835866261398177,0.14719626168224298,0.11049723756906077,0.3394415061636971,0.23718872248822312,0.21661064018155946,0.25835866261398177,0.14719626168224298,0.11049723756906077,0.18797061946033417,0.11535298222742643,0.08597046107055142,0.7312776385832311,0.5508568348597366,0.5481604347449152
Gaussian NB,glove.840B.300d_sum,0.2796352583586626,0.1853582554517134,0.19494869771112866,0.2761205906147634,0.2041518431513844,0.2077561804375835,0.2796352583586626,0.1853582554517134,0.19494869771112866,0.2354524845472172,0.16231801821229003,0.16937362286400964,0.6167227483710258,0.5478679039510063,0.551983453947838
AdaBoost,glove.840B.300d_sum,0.28484585323491096,0.22274143302180685,0.1910023677979479,0.2712382625830305,0.23227531087117126,0.21116851422580538,0.28484585323491096,0.22274143302180685,0.1910023677979479,0.25600536416865205,0.2022250773470891,0.17837371397459484,0.6269067616246223,0.5763320295687547,0.5660814683432781
Extra Trees,glove.840B.300d_sum,0.9993920972644377,0.24065420560747663,0.23125493291239146,0.9993922759865589,0.24979392366301406,0.2334752531065823,0.9993920972644377,0.24065420560747663,0.23125493291239146,0.9993921197892807,0.22794188953865327,0.21606453855894467,0.9999997166868971,0.5981189957495975,0.5790084557713173
XGBoost,glove.840B.300d_sum,0.9993920972644377,0.24143302180685358,0.24704025256511444,0.9993926689426464,0.2421468247623746,0.2478909640761085,0.9993920972644377,0.24143302180685358,0.24704025256511444,0.999392103922027,0.2399875717978393,0.24589530803668308,0.9999997166868971,0.577843711960297,0.5763857281267426
